match,operator,blocked_mean,direct_mean,delta,combined_error,z
L32_to_L16,phi2,1.4861645344540875,1.5285971945757129,-0.04243266012162539,0.005963086641548999,-7.115888577899797
L32_to_L16,phi4,4.581928903457679,5.149076665740189,-0.5671477622825103,0.03015936612272256,-18.80502925607617
L32_to_L16,NN,1.0467373007668306,1.0977498831328882,-0.05101258236605766,0.006360682817240818,-8.019985248719925
L32_to_L16,nn2,2.7959777355449993,3.2030267608913054,-0.40704902534630616,0.022280128478154377,-18.269599555739408
L32_to_L16,action_density,0.3890059713844655,0.38685323111088055,0.0021527402735849743,0.0011223759679207775,1.9180206411341523
L32_to_L16,m2,0.711094376764539,0.7666159509727329,-0.055521574208193925,0.008461004040417237,-6.562055040155258
L32_to_L16,m4,0.6429714814098044,0.7739174542137698,-0.13094597280396536,0.013256335959008238,-9.877991415492307
L32_to_L16,Binder_U4,0.5761463112254994,0.5610473411788057,0.015098970046693694,,
L32_to_L16,susceptibility,182.040160451722,196.25368344901963,-14.213522997297645,,
L32_to_L16,xi_over_L,0.765383391013679,0.7866197867122976,-0.02123639569861857,,
