start,success,fun,nfev,w00,w10,w11,D_op,normalized_rms,rms_z,max_abs_z,cov_condition,min_abs_Ktilde,max_abs_Ktilde,min_abs_Keta_tilde,max_abs_Keta_tilde,condition_number_abs
identity,True,3422.470004883668,216,0.648928999179272,0.10213608071677117,-0.014368330511589167,4538.975123195452,0.09644756267958202,11.62901752890408,18.80428580767062,6747693.179801276,0.18291135426583072,1.0,0.19946624621916276,1.0905077326652577,5.4671291676440665
old5_projected,True,3422.47001188869,140,0.6489260803113276,0.10213607886719911,-0.014367598945031007,4538.956610369288,0.09644875346522522,11.62925197415415,18.8050108614765,6747693.270322788,0.18291136906240713,1.0,0.19946626235494375,1.0905077326652577,5.467128725381811
smooth,True,3422.4700048824066,286,0.6489289984163058,0.10213608065729206,-0.014368330261368512,4538.975118629613,0.09644756302324745,11.629017596732345,18.804286014902683,6747693.180039058,0.18291135474166348,1.0,0.19946624673806207,1.0905077326652577,5.467129153421662
edge_only,True,3422.470012251986,189,0.648926023044007,0.10213606494124894,-0.01436757070225069,4538.95631244264,0.09644878446198195,11.62925811923227,18.80502925607617,6747693.271820317,0.18291148047000855,1.0,0.19946638384579457,1.0905077326652577,5.467125395466727
negative_edge,True,3422.4700118911283,132,0.6489260734458915,0.10213608630658039,-0.014367604668053258,4538.956531973607,0.0964487521755939,11.629251698008563,18.805010332461162,6747693.270358839,0.1829113095473569,1.0,0.19946619745332128,1.0905077326652577,5.467130504257276
