match,operator,blocked_mean,direct_mean,delta,combined_error,z
L32_to_L16,phi2,1.480754818122592,1.5285971945757129,-0.04784237645312084,0.005963975844802297,-8.02189306229606
L32_to_L16,phi4,4.543224248374919,5.149076665740189,-0.60585241736527,0.030103868716019357,-20.125400594870186
L32_to_L16,NN,1.0430566310013292,1.0977498831328882,-0.05469325213155907,0.006360271559831587,-8.599200775793177
L32_to_L16,nn2,2.7699492157605046,3.2030267608913054,-0.4330775451308009,0.02223150227407259,-19.480354489398405
L32_to_L16,action_density,0.3869652648460076,0.38685323111088055,0.00011203373512702619,0.0011190470335964535,0.10011530504394096
L32_to_L16,m2,0.7110527663085835,0.7666159509727329,-0.055563184664149445,0.008459290288616923,-6.568303340874464
L32_to_L16,m4,0.6427963454764573,0.7739174542137698,-0.13112110873731253,0.013251577317573388,-9.8947548352171
L32_to_L16,Binder_U4,0.5762121673540663,0.5610473411788057,0.015164826175260604,,
L32_to_L16,susceptibility,182.02950817499737,196.25368344901963,-14.224175274022258,,
L32_to_L16,xi_over_L,0.7661827891873495,0.7866197867122976,-0.020436997524948097,,
