match,operator,blocked_mean,direct_mean,delta,combined_error,z
L16_to_L8,phi2,1.5333211985226207,1.6329787143953731,-0.0996575158727524,0.0089494800653052,-11.135564875896936
L16_to_L8,phi4,4.7808234894436055,5.669512701555153,-0.8886892121115473,0.04773645074706256,-18.616574927624512
L16_to_L8,NN,1.106127178128564,1.2111948626897213,-0.10506768456115734,0.009370824359356636,-11.21221362518109
L16_to_L8,nn2,2.9447733694443206,3.6121363229866432,-0.6673629535423227,0.035905627285213355,-18.5865838867312
L16_to_L8,action_density,0.3742035758202783,0.37534408896591137,-0.0011405131456330708,0.0015118827973840743,-0.7543661106578079
L16_to_L8,m2,0.9135879732402147,1.0142369961803155,-0.10064902294010081,0.010118212915277126,-9.94731221638304
L16_to_L8,m4,1.1047956663924232,1.4729374300289793,-0.36814176363655604,0.024115985677368793,-15.265466175078714
L16_to_L8,Binder_U4,0.558775154388483,0.5227080084745893,0.036067145913893706,,
L16_to_L8,susceptibility,58.46963028737374,64.91116775554019,-6.441537468166452,,
L16_to_L8,xi_over_L,0.7913821132727477,0.8199306427834666,-0.028548529510718956,,
