match,operator,blocked_mean,direct_mean,delta,combined_error,z
old5_L32_to_L16,phi2,1.4841166767464378,1.5285971945757129,-0.04448051782927509,0.006110892153490079,-7.278890988752139
old5_L32_to_L16,phi4,4.687185757563452,5.149076665740189,-0.46189090817673684,0.03120559608578677,-14.801540944994624
old5_L32_to_L16,NN,1.0441795470520652,1.0977498831328882,-0.05357033608082307,0.006463360916765618,-8.288309560721641
old5_L32_to_L16,nn2,2.8500813448973066,3.2030267608913054,-0.35294541599399887,0.02292340778874884,-15.396725445299188
old5_L32_to_L16,action_density,0.39213135972565566,0.38685323111088055,0.005278128614775113,0.0010853159020113557,4.86321872276399
old5_L32_to_L16,m2,0.7118248825639735,0.7666159509727329,-0.05479106840875947,0.008491559028335706,-6.452415654878652
old5_L32_to_L16,m4,0.6460823556345225,0.7739174542137698,-0.12783509857924724,0.013342480322684537,-9.581059554714527
old5_L32_to_L16,Binder_U4,0.5749693044908233,0.5610473411788057,0.01392196331201756,,
old5_L32_to_L16,susceptibility,182.2271699363772,196.25368344901963,-14.026513512642424,,
old5_L32_to_L16,xi_over_L,0.7646735204499572,0.7866197867122976,-0.02194626626234042,,
