match,operator,blocked_mean,direct_mean,delta,combined_error,z
L16_to_L8,phi2,1.5766959908352116,1.6329787143953731,-0.05628272356016151,0.00902547339838589,-6.23598575673904
L16_to_L8,phi4,5.225195009249357,5.669512701555153,-0.44431769230579565,0.048533840428499314,-9.154801853366008
L16_to_L8,NN,1.1468696354623906,1.2111948626897213,-0.0643252272273307,0.009428687129881963,-6.822288866014794
L16_to_L8,nn2,3.281666605309614,3.6121363229866432,-0.33046971767702926,0.036501700461126614,-9.053543081615366
L16_to_L8,action_density,0.3813627118716414,0.37534408896591137,0.00601862290573002,0.001504579844936605,4.000201734713263
L16_to_L8,m2,0.9185373070053114,1.0142369961803155,-0.09569968917500404,0.010161770056494128,-9.417620025149537
L16_to_L8,m4,1.1315293442093444,1.4729374300289793,-0.3414080858196349,0.024269893678078337,-14.067143859307883
L16_to_L8,Binder_U4,0.5529552838943081,0.5227080084745893,0.030247275419718833,,
L16_to_L8,susceptibility,58.78638764833993,64.91116775554019,-6.124780107200259,,
L16_to_L8,xi_over_L,0.7635253023747923,0.8199306427834666,-0.05640534040867429,,
