match,operator,blocked_mean,direct_mean,delta,combined_error,z
L32_to_L16,phi2,1.521178089095624,1.5285971945757129,-0.00741910548008895,0.006123261395310493,-1.2116264521666313
L32_to_L16,phi4,4.955586236789592,5.149076665740189,-0.19349042895059743,0.03174711438919347,-6.094740661420882
L32_to_L16,NN,1.0819797433295935,1.0977498831328882,-0.01577013980329478,0.006476174120278712,-2.435101266643536
L32_to_L16,nn2,3.0815533249470572,3.2030267608913054,-0.1214734359442482,0.02349117869010133,-5.171023452962556
L32_to_L16,action_density,0.39256706810216724,0.38685323111088055,0.0057138369912866915,0.001093346283821472,5.22600851700492
L32_to_L16,m2,0.7123358829539013,0.7666159509727329,-0.05428006801883167,0.008512831258541255,-6.376265001655045
L32_to_L16,m4,0.648256625838467,0.7739174542137698,-0.1256608283753028,0.013402737375281809,-9.375758463122212
L32_to_L16,Binder_U4,0.5741505743016847,0.5610473411788057,0.013103233122878977,,
L32_to_L16,susceptibility,182.35798603619872,196.25368344901963,-13.895697412820908,,
L32_to_L16,xi_over_L,0.7557560969798659,0.7866197867122976,-0.0308636897324317,,
