method,kappa_c,kappa_f,sweep,N,observable,mean,se,uncertainty_method
Wolff,0.340301,0.340301,50,5000,xi_over_L,0.8951094344590692,0.01102939062826171,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,100,5000,action_density,-0.5498302023460475,0.0003643914144112169,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,100,5000,phi2,0.8281977225676019,0.00023677131313211563,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,100,5000,phi4,1.0499249562525759,0.00046132064827580503,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,100,5000,NN,0.5668198418686851,0.0003858086338521196,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,100,5000,2nn,0.47469310123055536,0.00053099099660234,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,100,5000,diag,0.5078560425505472,0.0004637708030745483,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,100,5000,chi,1231.8732085534953,7.138792130003185,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,100,5000,U4,0.6106439180188559,0.0014981196882538485,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,100,5000,xi_over_L,0.9002567024223327,0.011030359272299617,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,0,3000,action_density,-0.5254425681744141,0.0005557670690051359,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,0,3000,phi2,0.8290191275760214,0.00030257166224382983,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,0,3000,phi4,1.0764037606858758,0.0005705433791603991,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,0,3000,NN,0.5677526669656189,0.0005247075423865631,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,0,3000,2nn,0.4762771710458225,0.0007280744625454765,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,0,3000,diag,0.5113478644151236,0.0006364002647859821,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,0,3000,chi,1211.4271425779673,9.725522868230655,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,0,3000,U4,0.603330365311789,0.0021264962419798063,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,0,3000,xi_over_L,0.8681850876058567,0.013753154914885846,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,10,3000,action_density,-0.5497262674795846,0.00047320669117465944,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,10,3000,phi2,0.8279652551643717,0.0003040379661684922,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,10,3000,phi4,1.0494395780560337,0.0005920688069215222,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,10,3000,NN,0.5665576874379201,0.0004981525921777336,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,10,3000,2nn,0.47421987673068544,0.0006884824432452784,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,10,3000,diag,0.5074750632763225,0.0005995331397218534,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,10,3000,chi,1234.5923304203525,9.140878300107195,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,10,3000,U4,0.611624711990975,0.0018794803757438883,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,10,3000,xi_over_L,0.9032625393146019,0.013917691782182131,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,20,3000,action_density,-0.5505130236131501,0.0004768073690112356,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,20,3000,phi2,0.8284048557191638,0.00030722806872910384,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,20,3000,phi4,1.0500318534894744,0.0005953836869752549,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,20,3000,NN,0.567247834551956,0.0005028281306405078,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,20,3000,2nn,0.47509753077816,0.0006929915075080136,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,20,3000,diag,0.5082266622918996,0.0006084762985740682,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,20,3000,chi,1238.233414164248,9.33650691994828,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,20,3000,U4,0.6104791309343951,0.001977261960049778,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,20,3000,xi_over_L,0.8960377359118442,0.014672085861157246,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,50,3000,action_density,-0.5500705889655771,0.0004812261325466338,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,50,3000,phi2,0.8284784189206479,0.0003098951638986958,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,50,3000,phi4,1.0505292289497037,0.0006033437709244427,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,50,3000,NN,0.5672341537305451,0.0005082365776648572,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,50,3000,2nn,0.4752463095717469,0.000702179392970007,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,50,3000,diag,0.5083446113083802,0.0006158312775352941,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,50,3000,chi,1233.5559293028446,9.240043871522305,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,50,3000,U4,0.6100776375879038,0.0019035035288173868,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,50,3000,xi_over_L,0.8964942560945044,0.013848420532403571,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,100,3000,action_density,-0.551521738015095,0.0004896005245799478,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,100,3000,phi2,0.8290650403785224,0.00031983681851974855,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,100,3000,phi4,1.051321907692854,0.0006205364149235952,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,100,3000,NN,0.5684516099933784,0.0005211820003858073,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,100,3000,2nn,0.4769154691956336,0.0007194427658735143,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,100,3000,diag,0.5096704875447362,0.0006260769074646671,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,100,3000,chi,1259.3765822794676,9.28876777904043,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,100,3000,U4,0.6135888175832238,0.0018386659856925555,"configuration bootstrap, 4000 replicates"
Wolff,0.340100,0.340301,100,3000,xi_over_L,0.9315607237187399,0.01497618206621641,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,0,5000,action_density,-0.5268401626025451,0.0004164661171879036,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,0,5000,phi2,0.829876725359392,0.00022904182596503322,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,0,5000,phi4,1.0775933421003683,0.00043415740924674127,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,0,5000,NN,0.5690232906629139,0.0003944178881908948,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,0,5000,2nn,0.4784282897217423,0.000550203576721859,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,0,5000,diag,0.5131414187822815,0.00047620779139635267,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,0,5000,chi,1244.0192256780294,7.290805029218397,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,0,5000,U4,0.6099920008129911,0.0014642624263077036,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,0,5000,xi_over_L,0.8978215737823045,0.011064075099422893,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,50,5000,action_density,-0.5500897894961794,0.0003725461893209143,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,50,5000,phi2,0.8280966271133119,0.0002376825710876713,"configuration bootstrap, 4000 replicates"
