segment,first_config_index,last_config_index,first_generator_sweep,last_generator_sweep,N,S_over_V,chi,U4,xi_over_L,S_over_V_se,chi_se,U4_se,xi_over_L_se
full,0,4999,515,75500,5000,-0.5499091742259842,1220.0013762632116,0.6074465022911902,0.8807268919743685,0.00038242615729274876,7.305133671956435,0.00157548962274732,0.010826315020341122
first_half,0,2499,515,38000,2500,-0.5495328309705202,1216.437702981967,0.6063478575305434,0.87746287429452,0.0005284591551686874,10.513623378800043,0.002280971612671094,0.015406954866593913
second_half,2500,4999,38015,75500,2500,-0.5502855174814482,1223.5363419074322,0.6085390871515552,0.883996014774524,0.0005397067467764701,10.332593363383738,0.0021980121526283163,0.015480826929519754
block_1,0,999,515,15500,1000,-0.5499233751563805,1221.2232742698022,0.6055682790554473,0.8856784253902887,0.0008482808906333433,16.473662618293183,0.00362455306098027,0.024353213712285892
block_2,1000,1999,15515,30500,1000,-0.5491767508519372,1210.43115174835,0.604202536296299,0.8720485809985175,0.0008396375751734514,16.30401459461688,0.00365737050777338,0.02416709237332556
block_3,2000,2999,30515,45500,1000,-0.5495344848379868,1217.272910728459,0.6107434296351593,0.8758938296527738,0.0008256077167458874,16.100248669880322,0.0033047096844980345,0.023637810983310317
block_4,3000,3999,45515,60500,1000,-0.5510328772294423,1229.0345043537936,0.6068030683329732,0.8783144924112433,0.0008706152957650606,16.32462636097082,0.0035141255593883953,0.02403609702595559
block_5,4000,4999,60515,75500,1000,-0.5498783830541742,1219.1818162708355,0.6099350422731189,0.8909517786334232,0.0008489039982838136,16.520251475902157,0.0033825233664593365,0.02468096298046382
