volume_pair,kernel,operator,direct_mean,blocked_mean,std_ratio_direct_over_blocked,ks
L32_to_L16,Ethan fixed eta=0.25,action_density,-0.5622619103382159,-0.5649531037017966,1.1301301768409706,0.04299999999999993
L32_to_L16,Ethan fixed eta=0.25,phi2,0.8364330663955206,0.8356548379353893,0.9275391733163237,0.03899999999999998
L32_to_L16,Ethan fixed eta=0.25,phi4,1.0653041527420457,1.0633973214478094,0.8924147336490237,0.058000000000000024
L32_to_L16,Ethan fixed eta=0.25,phi6,1.6350519002349524,1.632128984047699,0.8926649070560841,0.05399999999999999
L32_to_L16,Ethan fixed eta=0.25,local_kurtosis_ratio,1.5226033540366717,1.5213713646811395,1.0431994901515287,0.028000000000000025
L32_to_L16,Ethan fixed eta=0.25,NN,0.5812009049964156,0.5823488523499907,0.9899270148935673,0.015000000000000013
L32_to_L16,Ethan fixed eta=0.25,2nn,0.4968995557106,0.49900644140065803,1.0158876663405065,0.020000000000000018
L32_to_L16,Ethan fixed eta=0.25,diag,0.5252124637939933,0.5264849687047168,1.0133317991998732,0.01200000000000001
L32_to_L16,Ethan fixed eta=0.25,m2,0.4296236061029026,0.43131643623713034,0.9905934078565478,0.024999999999999967
L32_to_L16,Ethan fixed eta=0.25,m4,0.21581278577448348,0.21786626307676726,0.9977879750007729,0.027000000000000024
L32_to_L16,Ethan fixed eta=0.25,G_pmin_avg,3.260954256203394,3.4211478619391,0.86634260610531,0.03899999999999998
L32_to_L16,Ethan fixed eta=0.25,G21,0.4812562666823015,0.48456246703461686,1.020797991274426,0.02200000000000002
L32_to_L16,Ethan fixed eta=0.25,G22,0.46121072364363497,0.4646316004069656,1.015826615521945,0.022999999999999965
L32_to_L16,Ethan fixed eta=0.25,G30,0.4585593149306405,0.46151512380498666,1.018512485945382,0.033999999999999975
L32_to_L16,Ethan fixed eta=0.25,G31,0.45342770280261224,0.4568089149369871,1.0170466528243367,0.03400000000000003
L64_to_L32,Ethan fixed eta=0.25,action_density,-0.5548564182628859,-0.5533413019727136,1.1268268733092182,0.052000000000000005
L64_to_L32,Ethan fixed eta=0.25,phi2,0.8311571872854847,0.8285309871146918,0.8535789202725503,0.063
L64_to_L32,Ethan fixed eta=0.25,phi4,1.055350841046239,1.0497718698469432,0.8159884005473236,0.067
L64_to_L32,Ethan fixed eta=0.25,phi6,1.6178482339238967,1.6063575765140798,0.8114833642093524,0.07199999999999995
L64_to_L32,Ethan fixed eta=0.25,local_kurtosis_ratio,1.5276600127933024,1.5286902951286045,1.0330375142295618,0.027000000000000024
L64_to_L32,Ethan fixed eta=0.25,NN,0.5723242600107258,0.5690419545527085,0.943162900226753,0.04299999999999998
L64_to_L32,Ethan fixed eta=0.25,2nn,0.4831976849515712,0.4792904548530561,0.974117449370094,0.027999999999999914
L64_to_L32,Ethan fixed eta=0.25,diag,0.5150256058480155,0.5104398626101316,0.9756817425180095,0.04199999999999998
L64_to_L32,Ethan fixed eta=0.25,m2,0.36276511142789386,0.3495750607802787,0.9410729650215675,0.05499999999999999
L64_to_L32,Ethan fixed eta=0.25,m4,0.1531076841840046,0.1464898877993119,0.9693092437038681,0.05299999999999999
L64_to_L32,Ethan fixed eta=0.25,G_pmin_avg,11.055949998199273,12.131113349063252,0.9240876947287611,0.04300000000000004
L64_to_L32,Ethan fixed eta=0.25,G21,0.4670702472568217,0.46248903942834146,0.9794351334339121,0.028999999999999915
L64_to_L32,Ethan fixed eta=0.25,G22,0.44378588586746537,0.43809933699138887,0.9825994864357649,0.03699999999999998
L64_to_L32,Ethan fixed eta=0.25,G30,0.44019059177600056,0.4348886465185495,0.9746451701688971,0.03
L64_to_L32,Ethan fixed eta=0.25,G31,0.4348674552240911,0.42840557122998474,0.9782069286572186,0.041000000000000036
L32_to_L16,free eta=0.2518658,action_density,-0.5622619103382159,-0.5658432203898844,1.1289957527209094,0.04400000000000004
L32_to_L16,free eta=0.2518658,phi2,0.8364330663955206,0.8364818521103946,0.9235933839449978,0.04200000000000004
L32_to_L16,free eta=0.2518658,phi4,1.0653041527420457,1.064473854425012,0.8858121322385407,0.05199999999999999
L32_to_L16,free eta=0.2518658,phi6,1.6350519002349524,1.6335076930774644,0.8836778873224979,0.059000000000000025
L32_to_L16,free eta=0.2518658,local_kurtosis_ratio,1.5226033540366717,1.5197908161162745,1.0485893424355512,0.031000000000000028
L32_to_L16,free eta=0.2518658,NN,0.5812009049964156,0.5831860784309346,0.9860573936812649,0.02100000000000002
L32_to_L16,free eta=0.2518658,2nn,0.4968995557106,0.4979248506776381,1.0103320984005124,0.02100000000000002
L32_to_L16,free eta=0.2518658,diag,0.5252124637939933,0.5281720210006908,1.011691362541379,0.019000000000000017
L32_to_L16,free eta=0.2518658,m2,0.4296236061029026,0.43181311259668426,0.9891373646578502,0.02699999999999997
L32_to_L16,free eta=0.2518658,m4,0.21581278577448348,0.218388744790443,0.9949182982707541,0.028000000000000025
L32_to_L16,free eta=0.2518658,G_pmin_avg,3.260954256203394,3.4252429596134166,0.8657066554232508,0.03999999999999998
L32_to_L16,free eta=0.2518658,G21,0.4812562666823015,0.485188535767018,1.0187235133223849,0.02400000000000002
L32_to_L16,free eta=0.2518658,G22,0.46121072364363497,0.4656760102564515,1.0150476949029488,0.02899999999999997
L32_to_L16,free eta=0.2518658,G30,0.4585593149306405,0.46143988234190964,1.0151786982858106,0.03300000000000003
L32_to_L16,free eta=0.2518658,G31,0.45342770280261224,0.45732644109853443,1.014901146495035,0.03300000000000003
L64_to_L32,free eta=0.2518658,action_density,-0.5548564182628859,-0.5541760681786327,1.1260817115486061,0.049000000000000016
L64_to_L32,free eta=0.2518658,phi2,0.8311571872854847,0.8293121843100234,0.8496552278211139,0.055999999999999994
L64_to_L32,free eta=0.2518658,phi4,1.055350841046239,1.050847185127333,0.8091661842967879,0.062
L64_to_L32,free eta=0.2518658,phi6,1.6178482339238967,1.6078587414144554,0.8020254697715161,0.07499999999999998
