kernel,eta,eta_scale,fit_chi2,inverse_tail_fraction,objective,min_K,max_K,condition_number,max_abs_K_inverse
Ethan fixed eta=0.25,0.25,1.0905077326652577,1.6443611669205966,0.1806934003333773,7.065163176921915,0.5437241326652574,1.2439044206652576,2.287749146920916,1.8391679528700409
free eta=0.2518658,0.25186579833544054,1.0912131227309303,0.7003509421089624,0.07655536999254653,2.9970120424892532,0.4444639368776491,1.2645735646663148,2.845165737292255,2.249901323884636
