kappa,U4,U4_bootstrap_se,chi_connected,chi_bootstrap_se,ESS,ESS_fraction
0.3345,0.4937847933527403,0.0070262027272172,209.70705802151485,3.240417352101351,2337.1899386805235,0.2337189938680523
0.335,0.5074373741657827,0.0055363075665742,222.1764319344792,2.805026606720335,2900.621992392912,0.2900621992392912
0.3355,0.5203959717997519,0.0046481592835073,235.0395849231408,2.683309462669608,3561.28790177624,0.356128790177624
0.336,0.5326301091923349,0.0040684868355472,248.24343184846452,2.4763608715183265,4315.057915959188,0.4315057915959188
0.3365,0.544122885022283,0.0034996900409921,261.72993586153325,2.379679633063871,5147.859762115025,0.5147859762115025
0.337,0.5548689604616819,0.002955295952206,275.43711199107395,2.146739063776298,6034.00928865225,0.603400928865225
0.3375,0.5648727249808949,0.0024189122258704,289.3002425401269,1.875324720714575,6936.025583043181,0.693602558304318
0.338,0.5741466641594464,0.0023625175611856,303.2532683282359,2.0816767134452565,7806.520542245428,0.7806520542245429
0.3385,0.5827099250258158,0.0017684947782571,317.23029846326267,1.7142779220195217,8592.388135220634,0.8592388135220633
0.339,0.5905870585280172,0.0015560628431245,331.1671633987971,1.7150165993716768,9240.920279817332,0.9240920279817332
0.3395,0.5978069122747396,0.0013941121596829,345.0029249314709,1.7406963734475949,9706.795126348488,0.9706795126348488
0.34,0.6044016471274927,0.0011139884503008,358.6812549076658,1.5208804262276396,9958.40294446158,0.995840294446158
0.340301,0.6080846348599755,0.0010583596005957,366.81828456310984,1.520440420826481,9999.999999999993,0.9999999999999992
0.3404,0.6092505347829054,0.0010562073179484085,369.47637953576844,1.5382633116389717,9995.528289311,0.9995528289311
0.3405,0.6104058559480378,0.0010358272942368847,372.15160250879757,1.4480413139132084,9981.984726535768,0.9981984726535768
0.3406,0.6115390023806475,0.0010059340399340005,374.8167276218548,1.5193130516618432,9959.469785515783,0.9959469785515783
0.3407,0.6126502696452665,0.00098005821837136,377.4714378684262,1.5215027358527482,9928.111812326195,0.9928111812326195
0.3408,0.6137399545488658,0.000978105410326515,380.11542804653675,1.5560573040981638,9888.065332208893,0.9888065332208893
0.3409,0.6148083549313623,0.0009213375855259134,382.7484048592699,1.4413395212826299,9839.509679839686,0.9839509679839686
0.341,0.6158557694609477,0.0008962630302267268,385.3700869939952,1.4819191968687013,9782.647513685986,0.9782647513685986
0.3415,0.6207885409113849,0.0007794921128897,398.30007602658577,1.3820160084864832,9382.259302069462,0.9382259302069462
0.342,0.625241606703919,0.0007007572220128,410.9124355634653,1.4655045072881605,8815.08621492353,0.8815086214923531
0.3425,0.629252123811478,0.0007091928422348,423.1854619862362,1.4700413872683875,8122.461848186938,0.8122461848186938
0.343,0.632856486272411,0.000559153618032,435.1045276105931,1.648650597758213,7347.694418780654,0.7347694418780654
0.3435,0.6360899227671365,0.0005234149011362,446.66148505041286,1.67806778144302,6531.997248516198,0.6531997248516198
0.344,0.6389861755491664,0.000475895855079,457.8538836618421,1.7336553902139238,5711.73347785957,0.571173347785957
0.3445,0.6415772584713899,0.0004305356480874,468.6840532162864,1.8539498352104824,4916.88876013459,0.4916888760134589
0.345,0.6438932890649682,0.0004051654315251,479.15810764212506,1.8218593577189703,4170.495762431858,0.4170495762431858
0.3455,0.6459623870784381,0.0003977848450335,489.2849170326466,2.131380811764042,3488.7070411563536,0.3488707041156353
0.346,0.6478106299244778,0.0003870737339788,499.0750908607779,2.4441873880692904,2881.280597178863,0.2881280597178863
0.3465,0.6494620543258732,0.0003567111318146,508.5400106509661,2.6114967408850256,2352.334021453287,0.2352334021453286
