L,kappa,U4,U4_bootstrap_se,chi_connected,chi_bootstrap_se,ESS,ESS_fraction
64,0.340301,0.6074465022862652,0.001575605498572512,1220.0013762560366,7.20156434110567,4999.999999999998,0.9999999999999997
64,0.3404,0.6098049308801164,0.0014591062569280543,1237.9067220252348,7.21427166444622,4989.491589934038,0.9978983179868075
64,0.34049999999999997,0.6120970568942683,0.0013439128348542188,1255.882354374424,6.776208938100797,4957.749762953043,0.9915499525906085
64,0.34059999999999996,0.6143009029104696,0.0013923689647499,1273.739106518865,7.556634107731557,4905.308167948145,0.981061633589629
64,0.34069999999999995,0.6164188434613165,0.0013559716259114469,1291.4698385565137,7.741598544897053,4832.978665130602,0.9665957330261205
64,0.34079999999999994,0.6184533077095582,0.0012955234078793052,1309.0680343191243,7.18884788487752,4741.826605663164,0.9483653211326327
64,0.3408999999999999,0.6204067658177135,0.0011173099621658608,1326.5277844763696,7.127766085904738,4633.142906712915,0.926628581342583
64,0.3409999999999999,0.6222817161360459,0.0010486615183487834,1343.8437660754353,7.042902131275588,4508.412768794951,0.9016825537589902
128,0.340301,0.6082381253509561,0.0015614602248640779,4127.100141963992,24.8557553640913,4999.999999999998,0.9999999999999997
128,0.3404,0.6129269193449014,0.0013878458798562755,4246.08088996185,23.399019656276277,4952.3461604700215,0.9904692320940043
128,0.34049999999999997,0.6173175638010464,0.0012600239337501964,4364.200238037597,24.33282269156222,4811.854767145201,0.9623709534290401
128,0.34059999999999996,0.621377844878807,0.001136505511264139,4480.006190486251,23.34133873642943,4588.945361583095,0.9177890723166191
128,0.34069999999999995,0.6251251246269874,0.001061100639974344,4593.291510974444,23.137596828504254,4297.874846395848,0.8595749692791697
128,0.34079999999999994,0.6285769929071721,0.0009548071123917079,4703.883785707173,24.60373594287221,3955.028519663211,0.7910057039326421
128,0.3408999999999999,0.6317510943687625,0.0008873932257301977,4811.645679079513,25.07400866187639,3577.278289032099,0.7154556578064198
128,0.3409999999999999,0.6346649741870212,0.0008055861415219185,4916.473794361793,24.750383080660516,3180.6748226314444,0.6361349645262889
